HGNC,ENTREZ_ID,OMIM_ID,ENSEMBL_ID,ENSP,ASD
DEFB118,117285,607650,ENSG00000131068,ENSP00000253381,0
ACSS2,55902,605832,ENSG00000131069,ENSP00000253382,0
ARHGEF9,23229,300429,ENSG00000131089,ENSP00000253401,1
C1QL1,10882,611586,ENSG00000131094,ENSP00000253407,0
ATP6V1E1,529,108746,ENSG00000131100,ENSP00000253413,0
EMC8,10328,604886,ENSG00000131148,ENSP00000253457,0
GSE1,23199,616886,ENSG00000131149,ENSP00000253458,0
GINS2,51659,610609,ENSG00000131153,ENSP00000253462,0
F12,2161,610619,ENSG00000131187,ENSP00000253496,0
ABCB7,22,300135,ENSG00000131269,ENSP00000253577,0
HAUS8,93323,613434,ENSG00000131351,ENSP00000253669,0
MRPS25,64432,611987,ENSG00000131368,ENSP00000253686,0
CAPN7,23473,606400,ENSG00000131375,ENSP00000253693,0
NAPSA,9476,605631,ENSG00000131400,ENSP00000253719,0
NR1H2,7376,600380,ENSG00000131408,ENSP00000253727,1
PDLIM4,8572,603422,ENSG00000131435,ENSP00000253754,0
GFPT2,9945,603865,ENSG00000131459,ENSP00000253778,0
ACLY,47,108728,ENSG00000131473,ENSP00000253792,0
VPS25,84313,610907,ENSG00000131475,ENSP00000253794,0
RAMP2,10266,605154,ENSG00000131477,ENSP00000253796,0
AOC2,314,602268,ENSG00000131480,ENSP00000253799,0
G6PC,2538,613742,ENSG00000131482,ENSP00000253801,0
PCDHAC1,56135,606320,ENSG00000248383,ENSP00000253807,1
PCDHGA3,56112,606290,ENSG00000254245,ENSP00000253812,0
NDFIP1,80762,612050,ENSG00000131507,ENSP00000253814,0
EXOC4,60412,608185,ENSG00000131558,ENSP00000253861,0
PPFIA1,8500,611054,ENSG00000131626,ENSP00000253925,1
BARX1,56033,603260,ENSG00000131668,ENSP00000253968,0
KRT15,3866,148030,ENSG00000171346,ENSP00000254043,0
TNS4,84951,608385,ENSG00000131746,ENSP00000254051,0
RARA,5914,180240,ENSG00000131759,ENSP00000254066,0
